,1星,2星,3星,4星,5星,actor,comment,country,date,director,language,name,score,scriptwriter,time,type
295,1.2%,5.9%,24.3%,47.1%,21.5%,杜红军,1400,['\n        '],"['2020(中国大陆)', '2019-05-22(戛纳电影节)']",顾晓刚,['\n        '],春江水暖,7.6,顾晓刚,150分钟,['剧情']
296,0.7%,1.4%,15.4%,43.9%,38.5%,弗朗索瓦·西维尔,506,['\n        '],['2019-04-03(法国)'],雨果·热兰,['\n        '],再见钟情 Mon inconnue,8.4,雨果·热兰,118分钟,"['喜剧', '爱情']"
297,1.1%,5.2%,44.0%,36.3%,13.4%,特罗伊·贝克,1334,['\n        '],['2019-07-21(美国)'],马特·皮特斯,['\n        '],乐高DC蝙蝠侠：家族事务 LEGO DC  Batman: Family Matters,7.1,杰瑞米·亚当斯,80分钟,"['喜剧', '动画', '犯罪']"
298,5.4%,17.0%,42.9%,26.5%,8.2%,宋戴维,391,['\n        '],['2019-07-21(FIRST青年影展)'],王晶,['\n        '],长风镇,6.3,王晶,123分钟,['剧情']
299,2.7%,13.4%,55.5%,21.4%,7.0%,杰森·奥玛拉,3892,['\n        '],['2019-07-20(美国)'],贾斯汀·科普兰,[' '],蝙蝠侠：缄默 Batman: Hush,6.3,厄尼·阿特巴克,82分钟,"['动作', '科幻', '动画', '冒险']"
300,2.8%,15.5%,51.2%,24.4%,6.2%,平采娜·乐维瑟派布恩,33843,['\n        '],"['2019-09-20(中国大陆)', '2019-02-14(泰国)']",查亚诺普·布恩帕拉科布,['\n        '],友情以上 Friend Zone ระวัง..สิ้นสุดทางเพื่อน,6.3,帕塔拉纳德·比博索瓦德,120分钟,"['喜剧', '爱情']"
301,6.0%,20.9%,57.3%,11.6%,4.1%,梅根·古德,877,['\n        '],['2019-05-03(美国)'],德翁·泰勒,['\n        '],侵入者 The Intruder,5.7,戴维·朗格利,102分钟,"['剧情', '悬疑', '惊悚']"
302,0.9%,4.4%,36.0%,42.1%,16.7%,郝蕾,1485,['\n        '],['2019-06-18(上海电影节)'],杨荔钠,['\n        '],春潮,7.4,杨荔钠,124分钟,['剧情']
303,0.8%,3.8%,45.9%,40.3%,9.2%,有村架纯,995,['\n        '],['2018-11-30(日本)'],吉田康弘,['\n        '],铁道：家色 かぞくいろ RAILWAYS わたしたちの出発,7.1,吉田康弘,120分钟,['剧情']
304,2.0%,8.9%,49.5%,29.4%,10.1%,李星民,3701,['\n        '],['2019-06-26(韩国)'],李正浩,['\n        '],野兽 비스트,6.7,李正浩,130分钟,"['动作', '犯罪']"
305,3.4%,20.1%,49.5%,20.8%,6.1%,横滨流星,567,['\n        '],['2019-01-25(日本)'],川村泰祐,['\n        '],爱歌：约定的承诺 愛唄～約束のナクヒト～,6.1,GReeeeN,126分钟,['爱情']
306,6.5%,11.0%,40.2%,24.1%,18.2%,杨丞琳,430,['\n        '],['2019-03-28(中国台湾)'],周美玲,['\n        '],握三下，我爱你 握三下，我愛你,6.7,琼瑶,96分钟,"['剧情', '爱情']"
307,4.7%,14.2%,34.3%,31.4%,15.4%,新谷真弓,428,['\n        '],['2018-09-07(日本)'],本广克行,['\n        '],特别的她 Alternative 劇場版 フリクリ オルタナ,6.8,岩井秀人,135分钟,"['剧情', '科幻', '动画']"
308,0.6%,1.9%,14.0%,38.5%,45.0%,吕艳婷,1128663,['\n        '],"['2019-07-26(中国大陆)', '2019-07-13(大规模点映)']",饺子,[' '],哪吒之魔童降世,8.5,饺子,110分钟,"['剧情', '喜剧', '动画', '奇幻']"
309,6.0%,35.0%,47.7%,7.1%,4.3%,艾丽·范宁,754,['\n        '],"['2018-09-07(多伦多电影节)', '2019-04-19(美国)']",麦克思·明格拉,['\n        '],少年追梦情 Teen Spirit,5.4,麦克思·明格拉,93分钟,"['剧情', '音乐']"
310,6.2%,24.9%,46.7%,14.2%,8.0%,登坂广臣,995,['\n        '],['2019-02-01(日本)'],桥本光二郎,['\n        '],雪之华 雪の華,5.9,冈田惠和,125分钟,['爱情']
311,3.8%,15.8%,43.6%,27.1%,9.8%,麦洛·曼海姆,336,['\n        '],['2018-02-16(美国)'],保罗·霍恩,['\n        '],僵尸高校 Z-O-M-B-I-E-S,6.5,戴维·莱特,94分钟,"['爱情', '歌舞']"
312,5.6%,24.3%,53.9%,13.9%,2.3%,卡雅·斯考达里奥,35028,['\n        '],"['2019-09-12(中国大陆)', '2019-07-12(美国)']",亚历山大·阿嘉,['\n        '],巨鳄风暴 Crawl,5.7,迈克尔·拉斯姆森,87分钟,"['剧情', '惊悚', '灾难']"
313,0.9%,5.7%,32.2%,44.3%,16.9%,奥卡菲娜,17357,['\n        '],"['2019-11-22(中国大陆点映)', '2019-01-25(圣丹斯电影节)', '2019-07-12(美国)']",王子逸,['\n        '],别告诉她 The Farewell,7.4,王子逸,98分钟,"['剧情', '家庭']"
314,6.0%,18.3%,41.4%,24.2%,10.2%,邓超,236668,['\n        '],"['2019-07-18(中国大陆)', '2019-07-13(大规模点映)']",邓超,['\n        '],银河补习班,6.3,俞白眉,147分钟,['剧情']
315,3.0%,21.4%,50.4%,19.0%,6.2%,安德鲁·斯科特,433,['\n        '],"['2018-06-24(爱丁堡国际电影节)', '2019-04-19(英国)']",西蒙·法洛,['\n        '],黑暗之地 A Dark Place,6.1,布伦丹·希金斯,89分钟,"['悬疑', '惊悚']"
316,4.5%,27.9%,53.9%,10.7%,3.0%,安东尼·麦凯,1115,['\n        '],['2019-07-12(美国)'],乔·林奇,['\n        '],单刀直入(美版) Point Blank,5.6,弗雷德·卡瓦耶,86分钟,"['动作', '惊悚']"
317,4.0%,18.7%,50.7%,19.6%,6.9%,王大治,6081,['\n        '],"['2019-07-23(中国大陆)', '2018-09-01(蒙特利尔国际电影节)']",张璞,['\n        '],灰猴,6.1,张璞,98分钟,"['剧情', '喜剧', '犯罪']"
318,0.0%,3.6%,32.1%,42.3%,21.9%,让-路易·特兰蒂尼昂,343,['\n        '],['2019-05-18(戛纳电影节)'],克洛德·勒卢什,['\n        '],最美年华 Les plus belles années d'une vie,7.6,克洛德·勒卢什,90分钟,"['剧情', '爱情']"
319,2.9%,5.9%,42.9%,35.5%,12.8%,肯尼思·布拉纳,918,['\n        '],"['2018-12-21(美国点映)', '2019-02-08(英国)']",肯尼思·布拉纳,['\n        '],都是真的 All Is True,7.0,本·埃尔顿,101分钟,"['剧情', '传记', '历史']"
320,9.3%,15.6%,34.8%,20.2%,20.2%,沙鲁克·汗,388,['\n        '],['2018-12-21(印度)'],阿南德·雷,['\n        '],从零开始 ZERO,6.5,希玛斯·夏玛,164分钟,"['剧情', '喜剧', '爱情']"
321,13.4%,34.0%,37.5%,11.6%,3.5%,博·纳普,416,['\n        '],['2019-04-12(美国)'],约翰·斯托伯格,['\n        '],加密货币 Crypto,5.2,卡莱尔·尤班克,105分钟,"['剧情', '惊悚', '犯罪']"
322,6.5%,39.0%,31.2%,18.2%,5.2%,杨光普照,452,['\n        '],['2019-03-16(中国大陆)'],张立衍,['\n        '],江海渔童之巨龟奇缘,5.5,陈澄,80分钟,['动画']
323,0.7%,4.7%,36.7%,40.9%,17.1%,唐纳德·格洛弗,225700,['\n        '],"['2019-07-12(中国大陆)', '2019-07-19(美国)']",乔恩·费儒,['\n        '],狮子王 The Lion King,7.4,杰夫·内桑森,118分钟,"['剧情', '动画', '冒险']"
324,0.9%,3.1%,33.5%,50.7%,11.8%,塔拉吉·P·汉森,1673,['\n        '],['2019-04-05(美国)'],罗宾·比斯尔,['\n        '],最佳敌人 The Best of Enemies,7.4,罗宾·比斯尔,133分钟,"['剧情', '传记', '历史']"
325,2.8%,16.5%,48.6%,23.5%,8.6%,伊莎贝尔·于佩尔,522,['\n        '],['2019-04-10(法国)'],安妮·芳婷,['\n        '],白雪公主 Blanche Comme Neige,6.4,安妮·芳婷,112分钟,['喜剧']
326,1.4%,3.6%,30.1%,50.4%,14.5%,艾萨·亚森,913,['\n        '],['2018-10-29(东京电影节)'],王丽娜,['\n        '],第一次的离别,7.5,王丽娜,90分钟,['儿童']
327,21.7%,26.7%,33.3%,10.0%,8.3%,李槐龙,321,['\n        '],['2018-07-25(中国大陆)'],高成岗,['\n        '],盲侠,5.1,孟相仲,87分钟,['动作']
328,6.6%,32.2%,43.6%,12.4%,5.3%,芬蒂拉·皮皮亚克隆,1134,['\n        '],['2019-03-14(泰国)'],西蒂斯里·蒙哥西里,['\n        '],落头氏之吻 แสงกระสือ,5.6,西蒂斯里·蒙哥西里,123分钟,"['剧情', '惊悚', '奇幻']"
329,12.2%,22.0%,45.1%,15.9%,4.9%,张铎,429,['\n        '],['2018-12-14(中国大陆)'],夏晓昀,['\n        '],春天的马拉松,5.6,张忌,90分钟,['剧情']
330,6.4%,20.8%,50.9%,16.1%,5.9%,雷吉娜·赫尔,694,['\n        '],['2019-04-12(美国)'],蒂娜·戈登·奇兹姆,['\n        '],小人物 Little,5.9,崔茜·奥利弗,109分钟,['喜剧']
331,9.6%,33.0%,40.6%,9.6%,7.3%,迪·布拉雷·贝克尔,368,['\n        '],['2018-09-30(美国)'],艾尔弗雷德·希梅诺,['\n        '],漫威崛起：秘密勇士 Marvel Rising: Secret Warriors,5.4,麦格里德·斯科特,80分钟,"['动作', '科幻', '动画']"
332,10.1%,33.1%,45.2%,8.1%,3.4%,卡里斯·范·侯登,615,['\n        '],['2019-07-11(意大利)'],布莱恩·德·帕尔玛,['\n        '],多米诺骨牌 Domino,5.2,彼特·斯卡弗兰,89分钟,"['惊悚', '犯罪']"
333,2.1%,15.7%,57.8%,18.2%,6.1%,佐藤健,1291,['\n        '],['2019-02-22(日本)'],伯纳德·罗斯,['\n        '],武士马拉松 サムライマラソン,6.2,齐藤浩史,105分钟,"['剧情', '动作', '历史']"
334,4.5%,12.9%,43.5%,30.3%,8.9%,佛罗伦斯·珀,29865,['\n        '],['2019-07-03(美国)'],阿里·艾斯特,[' '],仲夏夜惊魂 Midsommar,6.5,阿里·艾斯特,147分钟,"['剧情', '悬疑', '惊悚', '恐怖']"
335,3.7%,17.3%,48.8%,27.8%,2.5%,Wanlop Rungkamjad,355,['\n        '],['2018-09-07(威尼斯电影节)'],普蒂邦·阿朗潘,['\n        '],蝠鲼 กระเบนราหู,6.2,普蒂邦·阿朗潘,105分钟,['剧情']
336,2.5%,9.9%,39.8%,35.3%,12.6%,冈田准一,11194,['\n        '],['2018-12-07(日本)'],中岛哲也,['\n        '],来了 来る,6.9,中岛哲也,134分钟,"['悬疑', '惊悚', '恐怖']"
337,1.0%,3.0%,24.8%,52.5%,18.8%,冈田准一,638,['\n        '],"['2019-06-15(上海电影节)', '2019-06-21(日本)']",江口幹,['\n        '],杀手寓言 ザ・ファブル,7.7,渡边雄介,124分钟,"['喜剧', '动作']"
338,3.2%,20.9%,53.9%,17.7%,4.3%,刘德华,178269,['\n        '],"['2019-07-05(中国大陆)', '2019-07-16(中国香港)']",邱礼涛,[' '],扫毒2天地对决 掃毒2：天地對決,6.0,李敏,99分钟,"['剧情', '动作', '悬疑', '犯罪']"
339,3.0%,23.9%,46.2%,21.6%,5.3%,诺艾尔·维尔斯,316,['\n        '],['2018-03-30(美国)'],贾里德·斯特恩,['\n        '],周年快乐 Happy Anniversary,6.0,贾里德·斯特恩,78分钟,['喜剧']
340,1.4%,11.7%,52.3%,28.4%,6.2%,希米什·帕特尔,8678,['\n        '],"['2019-08-16(中国大陆)', '2019-05-05(翠贝卡电影节)', '2019-06-28(英国)']",丹尼·博伊尔,['\n        '],昨日奇迹 Yesterday,6.5,杰克·巴斯,116分钟,"['喜剧', '音乐', '奇幻']"
341,0.3%,2.4%,30.5%,51.9%,14.7%,朱丽叶·比诺什,4107,['\n        '],['2019-02-27(法国)'],萨菲·奈布,['\n        '],你觉得我是谁 Celle que vous croyez,7.6,卡米尔·劳伦斯,101分钟,['剧情']
342,1.6%,12.5%,45.8%,29.9%,10.2%,托尼·塞尔维洛,1309,['\n        '],['2018-04-24(意大利)'],保罗·索伦蒂诺,['\n        '],他们 Loro 1,6.7,保罗·索伦蒂诺,104分钟,['传记']
343,5.1%,23.5%,50.9%,15.6%,4.9%,奥布瑞·普拉扎,5727,['\n        '],['2019-06-21(美国)'],拉尔斯·克列夫伯格,['\n        '],鬼娃回魂 Child's Play,5.8,唐·曼西尼,90分钟,['恐怖']
344,8.1%,34.3%,45.1%,7.9%,4.6%,中川大志,518,['\n        '],['2018-10-12(日本)'],井口升,['\n        '],接招吧！那边的女孩 覚悟はいいかそこの女子。,5.3,李正姫,95分钟,['爱情']
345,1.4%,5.6%,47.7%,37.3%,8.0%,朱迪·丹奇,2433,['\n        '],"['2018-09-07(多伦多电影节)', '2019-04-19(英国)']",特雷弗·纳恩,['\n        '],红琼 Red Joan,6.9,林赛·沙佩罗,101分钟,"['剧情', '惊悚', '传记']"
346,1.2%,5.4%,39.5%,40.9%,13.1%,弗朗索瓦·西维尔,4956,['\n        '],['2019-02-20(法国)'],阿贝尔·安扎克,['\n        '],狼嚎 Le chant du loup,7.2,阿贝尔·安扎克,116分钟,"['战争', '灾难']"
347,3.3%,19.3%,52.3%,19.3%,5.8%,披纳若·苏潘平佑,1247,['\n        '],['2018-10-25(泰国)'],柏德潘·王般,['\n        '],借来的100天 Homestay,6.1,柏德潘·王般,131分钟,"['剧情', '惊悚', '奇幻']"
348,1.9%,5.6%,28.0%,36.0%,28.6%,李晔,730,['\n        '],['2019-06-01(中国大陆)'],河村友宏,['\n        '],巧虎大飞船历险记,7.7,杉浦理史,80分钟,"['动画', '儿童']"
349,9.2%,17.9%,44.4%,22.4%,6.1%,张亚奇,1805,['\n        '],['2019-06-16(中国大陆)'],霍穗强,[' '],镇魔司：苍龙觉醒,6.0,吴克诚,90分钟,"['动作', '奇幻', '武侠', '古装']"
350,0.4%,1.9%,20.9%,48.9%,27.8%,李东辉,21169,['\n        '],['2019-05-22(韩国)'],张圭声,['\n        '],小委托人 어린 의뢰인,8.0,闵敬恩,114分钟,['剧情']
351,2.0%,6.1%,39.3%,41.7%,10.8%,管轩,2845,['\n        '],"['2019-06-28(中国大陆)', '2019-06-16(上海电影节)']",陈晓鸣,['\n        '],学区房72小时,7.1,陈晓鸣,99分钟,['剧情']
352,4.3%,21.1%,57.8%,11.1%,5.7%,克里斯·帕拉特,558,['\n        '],['2019-03-08(美国)'],文森特·多诺费奥,['\n        '],比利小子 The Kid,5.9,安德鲁·兰纳姆,100分钟,"['剧情', '传记', '西部']"
353,6.3%,21.6%,42.9%,18.9%,10.3%,约瑟芬·兰福德,6453,['\n        '],['2019-04-12(美国)'],珍妮·盖奇,['\n        '],之后 After,6.1,苏珊·麦克马丁,106分钟,"['剧情', '爱情']"
354,4.7%,20.0%,38.8%,21.2%,15.3%,阮圣文,405,['\n        '],['2019-04-07(中国大陆)'],贺泉,['\n        '],武者,6.4,贺泉,115分钟,['动作']
355,4.8%,25.9%,50.5%,13.9%,5.0%,维拉·法米加,16074,['\n        '],['2019-06-26(美国)'],加里·多伯曼,['\n        '],安娜贝尔3：回家 Annabelle Comes Home,5.8,加里·多伯曼,106分钟,"['悬疑', '惊悚', '恐怖']"
356,4.2%,20.3%,53.1%,17.5%,4.9%,容璇雯,747,['\n        '],"['2019-05-24(中国大陆)', '2018-02-15(马来西亚)']",周青元,['\n        '],大大哒 Think Big Big,6.0,陈胜吉,102分钟,"['剧情', '喜剧']"
357,1.5%,7.7%,50.9%,31.0%,8.9%,塞缪尔·杰克逊,6774,['\n        '],['2019-06-14(美国)'],蒂姆·斯托瑞,['\n        '],夏福特 Shaft,6.8,肯尼亚·巴里斯,111分钟,"['喜剧', '动作', '犯罪']"
358,2.2%,8.4%,52.2%,27.2%,10.0%,赛依拉·罗梅罗,383,['\n        '],"['2018-04-17(西班牙)', '2018-05-15(戛纳电影节)']",阿兰查·艾奇瓦莉亚,['\n        '],卡门和罗拉 Carmen y Lola,6.7,阿兰查·艾奇瓦莉亚,103分钟,"['剧情', '爱情']"
359,0.6%,2.8%,26.5%,47.2%,22.9%,汤姆·赫兰德,417772,['\n        '],"['2019-06-28(中国大陆)', '2019-07-02(美国)']",乔·沃茨,['\n        '],蜘蛛侠：英雄远征 Spider-Man: Far from Home,7.8,克里斯·麦克纳,127分钟,"['动作', '科幻', '冒险']"
360,5.2%,15.8%,46.3%,19.5%,13.2%,郑智薰,426,['\n        '],['2019-02-27(韩国)'],金有晟,['\n        '],自行车王严福童 자전차왕 엄복동,6.4,金有晟,118分钟,['传记']
361,15.4%,29.9%,37.4%,12.5%,4.8%,黄奕,4446,['\n        '],['2019-06-21(中国大陆)'],廉涛,['\n        '],碟仙,5.2,孙婉仪,83分钟,"['惊悚', '恐怖']"
362,16.4%,31.9%,39.3%,7.0%,5.4%,中岛健人,612,['\n        '],['2018-12-21(日本)'],河合勇人,['\n        '],伪恋 ニセコイ,5.1,小山正太,117分钟,"['喜剧', '爱情']"
363,0.3%,2.2%,29.3%,48.4%,19.7%,马东锡,141043,['\n        '],['2019-05-15(韩国)'],李元泰,['\n        '],恶人传 악인전,7.7,李元泰,109分钟,"['剧情', '动作', '犯罪']"
364,0.4%,2.8%,28.9%,48.6%,19.3%,萨莎·露丝,77588,['\n        '],"['2019-06-21(美国)', '2019-07-10(法国)']",吕克·贝松,['\n        '],安娜 Anna,7.7,吕克·贝松,119分钟,"['动作', '惊悚']"
365,0.5%,2.8%,32.0%,46.2%,18.6%,立川志の輔,2391,['\n        '],['2019-02-02(日本)'],岩合光昭,['\n        '],猫与爷爷 ねことじいちゃん,7.6,坪田文,104分钟,['剧情']
366,0.5%,7.0%,50.0%,37.0%,5.5%,路易·加瑞尔,723,['\n        '],"['2018-09-09(多伦多电影节)', '2018-12-26(法国)']",路易·加瑞尔,['\n        '],一个忠诚的男人 L'homme fidèle,6.8,让-克洛德·卡里埃,75分钟,"['剧情', '喜剧', '爱情']"
367,5.6%,33.9%,47.4%,10.1%,2.9%,爱德华·斯皮伊尔斯,531,['\n        '],['2018-10-05(西班牙)'],安东尼奥·图布伦,['\n        '],动物园 Zoo,5.4,安东尼奥·图布伦,95分钟,"['剧情', '喜剧', '恐怖']"
368,5.0%,19.6%,50.4%,17.5%,7.5%,亚历桑德罗·博尔吉,608,['\n        '],['2019-01-31(意大利)'],马特奥·罗韦尔,['\n        '],第一个国王 Il primo re,6.1,菲利波·格拉维诺,127分钟,"['剧情', '历史']"
369,7.1%,21.5%,48.9%,14.8%,7.7%,周秀娜,809,['\n        '],['2018-10-18(中国香港)'],甄栢荣,['\n        '],女皇撞到正,5.9,甄栢荣,99分钟,"['喜剧', '奇幻']"
370,0.6%,2.6%,38.6%,43.2%,14.9%,乔纳·豪尔-金,1201,['\n        '],"['2018-06-21(爱丁堡电影节)', '2019-02-22(英国)']",托比·麦克唐纳,['\n        '],老男孩 Old Boys,7.4,卢克·庞特,96分钟,['喜剧']
371,7.8%,32.5%,41.7%,13.4%,4.6%,吉田羊,383,['\n        '],['2018-05-11(日本)'],铃木收,['\n        '],爱之证 ラブ×ドック,5.5,铃木收,113分钟,['喜剧']
372,0.8%,5.3%,36.3%,46.6%,11.0%,皮耶尔弗兰切斯科·法维诺,2929,['\n        '],['2019-05-23(意大利/戛纳电影节)'],马可·贝洛基奥,['\n        '],叛徒 Il traditore,7.2,马可·贝洛基奥,135分钟,"['剧情', '传记', '犯罪']"
373,0.5%,2.1%,27.1%,52.8%,17.5%,野村万斋,4357,['\n        '],['2019-02-01(日本)'],福泽克雄,['\n        '],七个会议 七つの会議,7.7,丑尾健太郎,119分钟(日本),['剧情']
374,2.4%,9.8%,46.0%,32.5%,9.3%,门胁麦,1374,['\n        '],['2019-01-18(日本)'],二宫健,['\n        '],吉娃娃 チワワちゃん,6.7,冈崎京子,104分钟,['剧情']
375,0.4%,4.3%,41.7%,42.2%,11.4%,奥列格·伊万科,1988,['\n        '],"['2018-08-31(特柳赖德电影节)', '2019-03-22(英国)']",拉尔夫·费因斯,['\n        '],白乌鸦 The White Crow,7.2,戴维·黑尔,128分钟,"['剧情', '传记']"
376,1.6%,9.4%,54.2%,28.6%,6.3%,丹尼·戴·维利尔斯,888,['\n        '],"['2019(中国大陆)', '2018-12-26(法国)']",吉勒斯·戴·迈斯特,['\n        '],白狮奇缘 Mia et le Lion Blanc,6.6,普兰·德梅斯特,98分钟,"['家庭', '冒险']"
377,9.4%,36.4%,43.9%,7.6%,2.7%,奥克塔维亚·斯宾瑟,3459,['\n        '],['2019-05-31(美国)'],泰特·泰勒,['\n        '],恐怖大妈 Ma,5.2,斯科蒂·兰德斯,99分钟,"['惊悚', '恐怖']"
378,1.2%,8.4%,42.3%,35.7%,12.3%,片寄凉太,2861,['\n        '],"['2019-12-07(中国大陆)', '2019-06-21(日本)']",汤浅政明,['\n        '],若能与你共乘海浪之上 きみと、波にのれたら,7.0,吉田玲子,96分钟,"['爱情', '动画', '奇幻']"
379,9.7%,26.2%,40.2%,17.9%,5.9%,藤原龙也,994,['\n        '],"['2019-06-19(上海电影节)', '2019-07-05(日本)']",蜷川实花,['\n        '],杀手餐厅 Diner ダイナー,5.7,杉山嘉一,117分钟,"['剧情', '动作']"
380,1.2%,5.9%,33.9%,41.5%,17.4%,三浦春马,641,['\n        '],"['2019-06-18(上海电影节)', '2019-09-20(日本)']",今泉力哉,['\n        '],一首小夜曲 アイネクライネ ナハトムジーク,7.4,伊坂幸太郎,119分钟,['爱情']
381,0.8%,3.8%,28.6%,50.9%,15.9%,伊利亚·苏雷曼,1198,['\n        '],"['2019-05-24(戛纳电影节)', '2019-12-04(法国)']",伊利亚·苏雷曼,['\n        '],必是天堂 إن شئت كما في السماء,7.5,伊利亚·苏雷曼,97分钟,['喜剧']
382,0.1%,0.8%,11.5%,41.1%,46.4%,汤姆·汉克斯,154515,['\n        '],['2019-06-21(美国/中国大陆)'],乔什·库雷,['\n        '],玩具总动员4 Toy Story 4,8.7,约翰·拉塞特,100分钟,"['喜剧', '动画', '奇幻']"
383,1.6%,7.7%,42.4%,36.0%,12.3%,小松菜奈,2365,['\n        '],['2019-05-31(日本)'],盐田明彦,['\n        '],再见，嘴唇 さよならくちびる,7.0,盐田明彦,116分钟,['音乐']
384,0.8%,2.9%,32.1%,49.5%,14.7%,文素丽,5384,['\n        '],['2019-05-15(韩国)'],洪承完,['\n        '],陪审员 배심원들,7.5,洪承完,114分钟,['剧情']
385,2.4%,19.9%,51.7%,21.7%,4.2%,蕾雅·赛杜,755,['\n        '],"['2019-05-22(戛纳电影节)', '2019-08-21(法国)']",阿诺·戴普勒尚,['\n        '],"鲁贝之灯 Roubaix, une lumière",6.1,阿诺·戴普勒尚,119分钟,"['剧情', '犯罪']"
386,0.4%,1.7%,18.4%,57.5%,22.0%,克里斯·希钦,1347,['\n        '],"['2019-05-16(戛纳电影节)', '2019-11-01(英国)']",肯·洛奇,['\n        '],对不起，我们错过了你 Sorry We Missed You,8.0,保罗·拉弗蒂,100分钟(戛纳电影节),['剧情']
387,1.3%,10.1%,56.9%,26.5%,5.2%,伊桑·霍克,1325,['\n        '],['2018-04-19(翠贝卡电影节)'],罗伯特·布德里奥,['\n        '],斯德哥尔摩 Stockholm,6.5,罗伯特·布德里奥,92分钟,"['剧情', '喜剧', '犯罪']"
388,1.0%,4.6%,27.2%,44.1%,23.1%,二宫庆多,4952,['\n        '],"['2019-01-27(圣丹斯电影节)', '2019-06-14(日本)']",长久允,['\n        '],我们是小僵尸 ウィーアーリトルゾンビーズ,7.7,长久允,120分钟(圣丹斯电影节),"['剧情', '音乐']"
389,0.8%,3.4%,25.0%,44.5%,26.3%,纳塔利娅·德·莫利纳,1667,['\n        '],['2019-02-13(柏林电影节)'],伊莎贝尔·科赛特,['\n        '],伊莉莎与玛瑟拉 Elisa y Marcela,7.8,伊莎贝尔·科赛特,113分钟,"['爱情', '同性', '传记']"
390,2.5%,17.7%,56.2%,18.6%,5.0%,詹妮弗·安妮斯顿,7312,['\n        '],['2019-06-14(美国)'],凯尔·纽瓦切克,[' '],谋杀疑案 Murder Mystery,6.1,詹姆斯·范德比尔特,97分钟,"['喜剧', '动作', '爱情', '悬疑']"
391,0.4%,0.7%,10.8%,57.6%,30.5%,让娜·巴利巴尔,2007,['\n        '],"['2019-05-15(戛纳电影节)', '2019-11-20(法国)']",拉吉·利,['\n        '],悲惨世界 Les misérables,8.3,拉吉·利,103分钟,['剧情']
392,8.9%,24.5%,36.8%,18.6%,11.2%,马修·麦康纳,899,['\n        '],"['2019-03-09(西南偏南电影节)', '2019-03-29(美国)']",哈莫尼·科林,['\n        '],海滩流浪汉 The Beach Bum,6.0,哈莫尼·科林,95分钟,['喜剧']
393,0.4%,3.8%,40.5%,43.4%,12.0%,塞西尔·德·弗朗斯,866,['\n        '],"['2018-09-07(多伦多电影节)', '2018-09-12(法国)']",埃马纽埃尔·穆雷,['\n        '],容基耶尔女士 Mademoiselle de Joncquières,7.3,德尼·狄德罗,109分钟,"['剧情', '爱情']"
394,13.3%,36.5%,39.0%,6.8%,4.4%,郑恩地,2431,['\n        '],['2019-05-29(韩国)'],刘善东,['\n        '],0.0兆赫 0.0MHz,5.1,张觉,101分钟,['恐怖']
395,0.8%,3.9%,41.8%,42.1%,11.5%,杰西·艾森伯格,4374,['\n        '],"['2018-09-08(多伦多电影节)', '2019-03-15(美国)']",阮金,['\n        '],蜂鸟计划 The Hummingbird Project,7.2,阮金,111分钟,['剧情']
396,0.9%,5.2%,36.9%,44.5%,12.5%,三吉彩花,1737,['\n        '],"['2019-06-15(上海电影节)', '2019-08-16(日本)']",矢口史靖,['\n        '],与我跳舞 ダンスウィズミー,7.2,矢口史靖,104分钟,"['剧情', '喜剧', '歌舞']"
397,6.2%,15.6%,51.4%,21.8%,5.1%,安东尼奥·德·拉·托雷,877,['\n        '],"['2018-09-07(多伦多电影节)', '2018-09-28(西班牙)']",罗德里戈·索罗戈延,['\n        '],王国 El reino,6.1,罗德里戈·索罗戈延,122分钟,"['剧情', '惊悚']"
398,5.8%,23.1%,46.2%,17.3%,7.7%,尹天照,876,['\n        '],['2019-06-08(中国大陆)'],刘轩狄,['\n        '],伏妖白鱼镇2,6.0,崔走召,85分钟,"['悬疑', '奇幻']"
